task_norm,occupation_norm,year,paper_year_count
review sets of photographs to select the best work,photographers,2024.0,2
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks",software quality assurance analysts and testers,2023.0,93
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks",software quality assurance analysts and testers,2024.0,327
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks",software quality assurance analysts and testers,2025.0,155
review specifications and recommend engineering or manufacturing changes to achieve solar design objectives,solar energy systems engineers,2023.0,4
review specifications and recommend engineering or manufacturing changes to achieve solar design objectives,solar energy systems engineers,2024.0,14
review specifications and recommend engineering or manufacturing changes to achieve solar design objectives,solar energy systems engineers,2025.0,12
review subject matter of materials to be classified and select classification numbers and headings according to classification systems,library technicians,2023.0,1
"review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies",payroll and timekeeping clerks,2023.0,3
"review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies",payroll and timekeeping clerks,2024.0,7
"review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies",payroll and timekeeping clerks,2025.0,2
review video surveillance footage,gambling surveillance officers and gambling investigators,2023.0,4
review video surveillance footage,gambling surveillance officers and gambling investigators,2024.0,4
"review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions","secretaries and administrative assistants, except legal, medical, and executive",2023.0,13
"review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions","secretaries and administrative assistants, except legal, medical, and executive",2024.0,38
"review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions","secretaries and administrative assistants, except legal, medical, and executive",2025.0,20
review work plans to schedule activities,environmental engineering technologists and technicians,2023.0,3
review work plans to schedule activities,environmental engineering technologists and technicians,2024.0,3
review work plans to schedule activities,environmental engineering technologists and technicians,2025.0,3
review work requests and compare them with previous work completed on ships to ensure that costs are economically sound,marine engineers and naval architects,2023.0,1
review work requests and compare them with previous work completed on ships to ensure that costs are economically sound,marine engineers and naval architects,2024.0,6
review work requests and compare them with previous work completed on ships to ensure that costs are economically sound,marine engineers and naval architects,2025.0,3
"review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records",database administrators,2023.0,37
"review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records",database administrators,2024.0,95
"review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records",database administrators,2025.0,53
"review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines","news analysts, reporters, and journalists",2023.0,14
"review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines","news analysts, reporters, and journalists",2024.0,89
"review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines","news analysts, reporters, and journalists",2025.0,39
"review, classify, and record survey data in preparation for computer analysis",survey researchers,2023.0,22
"review, classify, and record survey data in preparation for computer analysis",survey researchers,2024.0,99
"review, classify, and record survey data in preparation for computer analysis",survey researchers,2025.0,52
"review, evaluate, and approve specifications for issuing and awarding bids",purchasing managers,2023.0,3
"review, evaluate, and approve specifications for issuing and awarding bids",purchasing managers,2024.0,16
"review, evaluate, and approve specifications for issuing and awarding bids",purchasing managers,2025.0,11
"revise existing maps and charts, making all necessary corrections and adjustments",cartographers and photogrammetrists,2023.0,3
"revise existing maps and charts, making all necessary corrections and adjustments",cartographers and photogrammetrists,2024.0,15
"revise existing maps and charts, making all necessary corrections and adjustments",cartographers and photogrammetrists,2025.0,7
"revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved",computer numerically controlled tool programmers,2023.0,20
"revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved",computer numerically controlled tool programmers,2024.0,105
"revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved",computer numerically controlled tool programmers,2025.0,40
revise work to meet editorial approval or to fit time or space requirements,"news analysts, reporters, and journalists",2023.0,9
revise work to meet editorial approval or to fit time or space requirements,"news analysts, reporters, and journalists",2024.0,46
revise work to meet editorial approval or to fit time or space requirements,"news analysts, reporters, and journalists",2025.0,27
route correspondence to other departments for reply,correspondence clerks,2023.0,4
route correspondence to other departments for reply,correspondence clerks,2024.0,14
route correspondence to other departments for reply,correspondence clerks,2025.0,1
"route or reroute drivers in real time with remote route navigation software, satellite linkup systems, or global positioning systems (gps) to improve operational efficiencies",logistics analysts,2023.0,15
"route or reroute drivers in real time with remote route navigation software, satellite linkup systems, or global positioning systems (gps) to improve operational efficiencies",logistics analysts,2024.0,43
"route or reroute drivers in real time with remote route navigation software, satellite linkup systems, or global positioning systems (gps) to improve operational efficiencies",logistics analysts,2025.0,14
"route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting",proofreaders and copy markers,2023.0,6
"route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting",proofreaders and copy markers,2024.0,23
"route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting",proofreaders and copy markers,2025.0,18
run monthly network reports,computer network support specialists,2023.0,8
run monthly network reports,computer network support specialists,2024.0,19
run monthly network reports,computer network support specialists,2025.0,6
"scan status charts and computer screens, and contact emergency response field units to determine emergency units available for dispatch",public safety telecommunicators,2023.0,2
"scan status charts and computer screens, and contact emergency response field units to determine emergency units available for dispatch",public safety telecommunicators,2024.0,18
"scan status charts and computer screens, and contact emergency response field units to determine emergency units available for dispatch",public safety telecommunicators,2025.0,5
"schedule and confirm appointments for clients, customers, or supervisors","secretaries and administrative assistants, except legal, medical, and executive",2023.0,12
"schedule and confirm appointments for clients, customers, or supervisors","secretaries and administrative assistants, except legal, medical, and executive",2024.0,34
"schedule and confirm appointments for clients, customers, or supervisors","secretaries and administrative assistants, except legal, medical, and executive",2025.0,12
"schedule and confirm patient diagnostic appointments, surgeries, or medical consultations",medical secretaries and administrative assistants,2023.0,3
"schedule and confirm patient diagnostic appointments, surgeries, or medical consultations",medical secretaries and administrative assistants,2024.0,11
"schedule and confirm patient diagnostic appointments, surgeries, or medical consultations",medical secretaries and administrative assistants,2025.0,3
"schedule and coordinate transfer and delivery of security certificates between companies, departments, and customers",brokerage clerks,2023.0,1
"schedule and coordinate transfer and delivery of security certificates between companies, departments, and customers",brokerage clerks,2024.0,13
"schedule and coordinate transfer and delivery of security certificates between companies, departments, and customers",brokerage clerks,2025.0,6
schedule and make appointments,legal secretaries and administrative assistants,2023.0,8
schedule and make appointments,legal secretaries and administrative assistants,2024.0,24
schedule and make appointments,legal secretaries and administrative assistants,2025.0,8
schedule appointments for research subjects or clinical patients,magnetic resonance imaging technologists,2024.0,1
schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations,telemarketers,2023.0,12
schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations,telemarketers,2024.0,30
schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations,telemarketers,2025.0,7
schedule appointments with clients,tax preparers,2023.0,1
schedule appointments with clients,tax preparers,2024.0,8
schedule appointments with clients,tax preparers,2025.0,1
schedule benefits claimants for adjudication interviews to address questions of eligibility,"eligibility interviewers, government programs",2023.0,2
schedule benefits claimants for adjudication interviews to address questions of eligibility,"eligibility interviewers, government programs",2024.0,7
schedule benefits claimants for adjudication interviews to address questions of eligibility,"eligibility interviewers, government programs",2025.0,3
"schedule classes based on availability of classrooms, equipment, or instructors",training and development specialists,2023.0,9
"schedule classes based on availability of classrooms, equipment, or instructors",training and development specialists,2024.0,21
"schedule classes based on availability of classrooms, equipment, or instructors",training and development specialists,2025.0,6
"schedule deliveries based on production forecasts, material substitutions, storage and handling facilities, and maintenance requirements",industrial engineers,2023.0,9
"schedule deliveries based on production forecasts, material substitutions, storage and handling facilities, and maintenance requirements",industrial engineers,2024.0,25
"schedule deliveries based on production forecasts, material substitutions, storage and handling facilities, and maintenance requirements",industrial engineers,2025.0,13
schedule hearings,"administrative law judges, adjudicators, and hearing officers",2023.0,2
schedule hearings,"administrative law judges, adjudicators, and hearing officers",2024.0,9
schedule hearings,"administrative law judges, adjudicators, and hearing officers",2025.0,2
"schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees",human resources specialists,2023.0,3
"schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees",human resources specialists,2024.0,23
"schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees",human resources specialists,2025.0,5
"schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones","dispatchers, except police, fire, and ambulance",2023.0,9
"schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones","dispatchers, except police, fire, and ambulance",2024.0,27
"schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones","dispatchers, except police, fire, and ambulance",2025.0,9
schedule patients for treatment times,radiation therapists,2023.0,4
schedule patients for treatment times,radiation therapists,2024.0,11
schedule patients for treatment times,radiation therapists,2025.0,1
schedule programming or read television programming logs to determine which programs are to be recorded or aired,broadcast technicians,2023.0,2
schedule programming or read television programming logs to determine which programs are to be recorded or aired,broadcast technicians,2024.0,1
schedule repairs for locks on safe-deposit boxes,new accounts clerks,2023.0,1
schedule repairs for locks on safe-deposit boxes,new accounts clerks,2024.0,2
"schedule subjects for appointments, procedures, or inpatient stays as required by study protocols",clinical research coordinators,2023.0,8
"schedule subjects for appointments, procedures, or inpatient stays as required by study protocols",clinical research coordinators,2024.0,49
"schedule subjects for appointments, procedures, or inpatient stays as required by study protocols",clinical research coordinators,2025.0,19
"schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders",medical secretaries and administrative assistants,2023.0,10
"schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders",medical secretaries and administrative assistants,2024.0,21
"schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders",medical secretaries and administrative assistants,2025.0,10
schedule use of studio and editing facilities for producers and engineering and maintenance staff,media technical directors/managers,2023.0,3
schedule use of studio and editing facilities for producers and engineering and maintenance staff,media technical directors/managers,2024.0,10
schedule use of studio and editing facilities for producers and engineering and maintenance staff,media technical directors/managers,2025.0,2
"search electronic sources, such as databases or repositories, or manual sources for information",document management specialists,2023.0,20
"search electronic sources, such as databases or repositories, or manual sources for information",document management specialists,2024.0,82
"search electronic sources, such as databases or repositories, or manual sources for information",document management specialists,2025.0,42
"search employee files to obtain information for authorized persons and organizations, such as credit bureaus and finance companies","human resources assistants, except payroll and timekeeping",2023.0,2
"search employee files to obtain information for authorized persons and organizations, such as credit bureaus and finance companies","human resources assistants, except payroll and timekeeping",2024.0,3
"search for specific sets of stored, typed characters to make changes",word processors and typists,2023.0,5
"search for specific sets of stored, typed characters to make changes",word processors and typists,2024.0,16
"search for specific sets of stored, typed characters to make changes",word processors and typists,2025.0,2
"search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed",surveyors,2023.0,2
"search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed",surveyors,2024.0,12
"search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed",surveyors,2025.0,2
"search public records for transactions such as sales, leases, and assessments",appraisers and assessors of real estate,2023.0,1
"search public records for transactions such as sales, leases, and assessments",appraisers and assessors of real estate,2024.0,2
"search public records for transactions such as sales, leases, and assessments",appraisers and assessors of real estate,2025.0,1
search scientific literature to select and modify methods and procedures most appropriate for genetic research goals,geneticists,2023.0,19
search scientific literature to select and modify methods and procedures most appropriate for genetic research goals,geneticists,2024.0,99
search scientific literature to select and modify methods and procedures most appropriate for genetic research goals,geneticists,2025.0,56
"search standard reference materials, including online sources and the internet, to answer patrons' reference questions",librarians and media collections specialists,2023.0,18
"search standard reference materials, including online sources and the internet, to answer patrons' reference questions",librarians and media collections specialists,2024.0,91
"search standard reference materials, including online sources and the internet, to answer patrons' reference questions",librarians and media collections specialists,2025.0,46
select and combine the most effective shots of each scene to form a logical and smoothly running story,film and video editors,2023.0,2
select and combine the most effective shots of each scene to form a logical and smoothly running story,film and video editors,2024.0,9
select and combine the most effective shots of each scene to form a logical and smoothly running story,film and video editors,2025.0,5
select cartographic elements needed for effective presentation of information,geographic information systems technologists and technicians,2023.0,7
select cartographic elements needed for effective presentation of information,geographic information systems technologists and technicians,2024.0,19
select cartographic elements needed for effective presentation of information,geographic information systems technologists and technicians,2025.0,14
"select electronics equipment, components, or systems to meet functional specifications",electrical and electronic engineering technologists and technicians,2023.0,7
"select electronics equipment, components, or systems to meet functional specifications",electrical and electronic engineering technologists and technicians,2024.0,19
"select electronics equipment, components, or systems to meet functional specifications",electrical and electronic engineering technologists and technicians,2025.0,7
"select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value",editors,2023.0,12
"select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value",editors,2024.0,62
"select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value",editors,2025.0,37
"select material most pertinent to presentation, and organize this material into appropriate formats","news analysts, reporters, and journalists",2023.0,18
"select material most pertinent to presentation, and organize this material into appropriate formats","news analysts, reporters, and journalists",2024.0,81
"select material most pertinent to presentation, and organize this material into appropriate formats","news analysts, reporters, and journalists",2025.0,46
select number of colors and determine color separations,desktop publishers,2023.0,1
select number of colors and determine color separations,desktop publishers,2024.0,2
select number of colors and determine color separations,desktop publishers,2025.0,2
select or direct the execution of trades,investment fund managers,2023.0,3
select or direct the execution of trades,investment fund managers,2024.0,9
select or direct the execution of trades,investment fund managers,2025.0,7
"select photographs, drawings, sketches, diagrams, and charts to illustrate material",technical writers,2023.0,20
"select photographs, drawings, sketches, diagrams, and charts to illustrate material",technical writers,2024.0,86
"select photographs, drawings, sketches, diagrams, and charts to illustrate material",technical writers,2025.0,50
"select shipment routes, based on nature of goods shipped, transit times, or security needs",freight forwarders,2024.0,9
"select shipment routes, based on nature of goods shipped, transit times, or security needs",freight forwarders,2025.0,3
select sources from which programming will be received or through which programming will be transmitted,broadcast technicians,2023.0,4
select sources from which programming will be received or through which programming will be transmitted,broadcast technicians,2024.0,4
select specific investments or investment mixes for purchase by an investment fund,investment fund managers,2023.0,2
select specific investments or investment mixes for purchase by an investment fund,investment fund managers,2024.0,8
select specific investments or investment mixes for purchase by an investment fund,investment fund managers,2025.0,8
select statistical tests for analyzing data,statistical assistants,2023.0,12
select statistical tests for analyzing data,statistical assistants,2024.0,47
select statistical tests for analyzing data,statistical assistants,2025.0,31
select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution,supply chain managers,2023.0,1
select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution,supply chain managers,2024.0,13
select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution,supply chain managers,2025.0,3
"select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary",media programming directors,2023.0,6
"select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary",media programming directors,2024.0,16
"select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary",media programming directors,2025.0,9
send notices to taxpayers when accounts are delinquent,"tax examiners and collectors, and revenue agents",2023.0,2
send notices to taxpayers when accounts are delinquent,"tax examiners and collectors, and revenue agents",2024.0,3
send notices to taxpayers when accounts are delinquent,"tax examiners and collectors, and revenue agents",2025.0,2
send out notices about lost or overdue books,library technicians,2023.0,3
send out notices about lost or overdue books,library technicians,2024.0,9
send out notices about lost or overdue books,library technicians,2025.0,4
send out notices and accept fine payments for lost or overdue books,"library assistants, clerical",2023.0,1
"separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage",sound engineering technicians,2023.0,2
"separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage",sound engineering technicians,2024.0,4
"separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage",sound engineering technicians,2025.0,1
set goals and deadlines for the department,administrative services managers,2023.0,6
set goals and deadlines for the department,administrative services managers,2024.0,28
set goals and deadlines for the department,administrative services managers,2025.0,10
"set scanners to specific color densities, sizes, screen rulings, and exposure adjustments, using scanner keyboards or computers",prepress technicians and workers,2025.0,2
"set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary",media technical directors/managers,2023.0,10
"set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary",media technical directors/managers,2024.0,15
"set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary",media technical directors/managers,2025.0,9
"set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes",medical transcriptionists,2023.0,10
"set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes",medical transcriptionists,2024.0,58
"set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes",medical transcriptionists,2025.0,17
"set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material","secretaries and administrative assistants, except legal, medical, and executive",2023.0,8
"set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material","secretaries and administrative assistants, except legal, medical, and executive",2024.0,23
"set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material","secretaries and administrative assistants, except legal, medical, and executive",2025.0,8
"set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product",film and video editors,2023.0,6
"set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product",film and video editors,2024.0,13
"set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product",film and video editors,2025.0,6
set up or maintain monitoring tools on web servers or web sites,web administrators,2023.0,25
set up or maintain monitoring tools on web servers or web sites,web administrators,2024.0,76
set up or maintain monitoring tools on web servers or web sites,web administrators,2025.0,26
"set up, operate, and maintain broadcast station computers and networks",broadcast technicians,2023.0,7
"set up, operate, and maintain broadcast station computers and networks",broadcast technicians,2024.0,15
"set up, operate, and maintain broadcast station computers and networks",broadcast technicians,2025.0,5
"set, adjust, and readjust computerized or mechanical equipment controls to regulate power level, temperature, vacuum, and rotation speed of furnace, according to crystal growing specifications",semiconductor processing technicians,2023.0,5
"set, adjust, and readjust computerized or mechanical equipment controls to regulate power level, temperature, vacuum, and rotation speed of furnace, according to crystal growing specifications",semiconductor processing technicians,2024.0,18
"set, adjust, and readjust computerized or mechanical equipment controls to regulate power level, temperature, vacuum, and rotation speed of furnace, according to crystal growing specifications",semiconductor processing technicians,2025.0,4
"shade or color drawings to clarify and emphasize details and dimensions or eliminate background, using ink, crayon, airbrush, and overlays",mechanical drafters,2023.0,1
"shade or color drawings to clarify and emphasize details and dimensions or eliminate background, using ink, crayon, airbrush, and overlays",mechanical drafters,2024.0,6
"shade or color drawings to clarify and emphasize details and dimensions or eliminate background, using ink, crayon, airbrush, and overlays",mechanical drafters,2025.0,3
"sign documents on behalf of clients, using powers of attorney",customs brokers,2024.0,2
"sign documents on behalf of clients, using powers of attorney",customs brokers,2025.0,1
"simulate or model fuel cell, motor, or other system information, using simulation software programs",fuel cell engineers,2023.0,5
"simulate or model fuel cell, motor, or other system information, using simulation software programs",fuel cell engineers,2024.0,24
"simulate or model fuel cell, motor, or other system information, using simulation software programs",fuel cell engineers,2025.0,12
"solicit, obtain, and integrate feedback from design and technical staff into original game design",video game designers,2023.0,35
"solicit, obtain, and integrate feedback from design and technical staff into original game design",video game designers,2024.0,131
"solicit, obtain, and integrate feedback from design and technical staff into original game design",video game designers,2025.0,45
"sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports",bill and account collectors,2023.0,1
"sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports",bill and account collectors,2024.0,4
"sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports",bill and account collectors,2025.0,3
sort shop orders into groups to maximize materials utilization and minimize machine setup time,computer numerically controlled tool programmers,2023.0,1
sort shop orders into groups to maximize materials utilization and minimize machine setup time,computer numerically controlled tool programmers,2024.0,1
sort shop orders into groups to maximize materials utilization and minimize machine setup time,computer numerically controlled tool programmers,2025.0,2
specify inputs accessed by the system and plan the distribution and use of the results,computer systems analysts,2023.0,92
specify inputs accessed by the system and plan the distribution and use of the results,computer systems analysts,2024.0,313
specify inputs accessed by the system and plan the distribution and use of the results,computer systems analysts,2025.0,137
"specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations",mechanical engineers,2023.0,10
"specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations",mechanical engineers,2024.0,22
"specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations",mechanical engineers,2025.0,13
specify users and user access levels for each segment of database,database administrators,2023.0,32
specify users and user access levels for each segment of database,database administrators,2024.0,139
specify users and user access levels for each segment of database,database administrators,2025.0,56
stay abreast of advances in technology,computer and information systems managers,2023.0,50
stay abreast of advances in technology,computer and information systems managers,2024.0,168
stay abreast of advances in technology,computer and information systems managers,2025.0,69
stay abreast of new types of loans and other financial services and products to better meet customers' needs,loan officers,2023.0,3
stay abreast of new types of loans and other financial services and products to better meet customers' needs,loan officers,2024.0,19
stay abreast of new types of loans and other financial services and products to better meet customers' needs,loan officers,2025.0,11
store completed documents in appropriate locations,data entry keyers,2023.0,3
store completed documents in appropriate locations,data entry keyers,2024.0,3
"store, retrieve, and manipulate data for analysis of system capabilities and requirements",computer hardware engineers,2023.0,60
"store, retrieve, and manipulate data for analysis of system capabilities and requirements",computer hardware engineers,2024.0,188
"store, retrieve, and manipulate data for analysis of system capabilities and requirements",computer hardware engineers,2025.0,69
study and research scripts to determine how they should be directed,producers and directors,2023.0,3
study and research scripts to determine how they should be directed,producers and directors,2024.0,22
study and research scripts to determine how they should be directed,producers and directors,2025.0,11
study background information to prepare for programs or interviews,broadcast announcers and radio disc jockeys,2023.0,1
"study blueprints, schematics, manuals, or other specifications to determine installation procedures","electrical and electronics repairers, commercial and industrial equipment",2023.0,4
"study blueprints, schematics, manuals, or other specifications to determine installation procedures","electrical and electronics repairers, commercial and industrial equipment",2024.0,22
"study blueprints, schematics, manuals, or other specifications to determine installation procedures","electrical and electronics repairers, commercial and industrial equipment",2025.0,5
"study constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases",lawyers,2023.0,8
"study constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases",lawyers,2024.0,33
"study constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases",lawyers,2025.0,10
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture",economists,2023.0,2
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture",economists,2024.0,12
"study economic and statistical data in area of specialization, such as finance, labor, or agriculture",economists,2025.0,4
"study illustrations and photographs to plan presentation of materials, products, or services",graphic designers,2023.0,2
"study illustrations and photographs to plan presentation of materials, products, or services",graphic designers,2024.0,12
"study illustrations and photographs to plan presentation of materials, products, or services",graphic designers,2025.0,9
study layout or other design instructions to determine work to be done and sequence of operations,desktop publishers,2023.0,3
study layout or other design instructions to determine work to be done and sequence of operations,desktop publishers,2024.0,8
study layout or other design instructions to determine work to be done and sequence of operations,desktop publishers,2025.0,8
"study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends",compensation and benefits managers,2023.0,1
"study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends",compensation and benefits managers,2024.0,8
"study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends",human resources managers,2023.0,2
"study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends",human resources managers,2024.0,7
"study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends",human resources managers,2025.0,3
study product characteristics or customer requirements to determine validation objectives and standards,validation engineers,2023.0,24
study product characteristics or customer requirements to determine validation objectives and standards,validation engineers,2024.0,71
study product characteristics or customer requirements to determine validation objectives and standards,validation engineers,2025.0,31
study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies,"purchasing agents, except wholesale, retail, and farm products",2023.0,1
study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies,"purchasing agents, except wholesale, retail, and farm products",2024.0,12
study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies,"purchasing agents, except wholesale, retail, and farm products",2025.0,2
"study the economic, political, and cultural characteristics of a specific region's population",geographers,2023.0,3
"study the economic, political, and cultural characteristics of a specific region's population",geographers,2024.0,14
"study the economic, political, and cultural characteristics of a specific region's population",geographers,2025.0,5
"study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services",public relations specialists,2023.0,4
"study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services",public relations specialists,2024.0,15
"study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services",public relations specialists,2025.0,9
"study work order requests to determine type of service, such as lighting or power, demanded by installation",electrical and electronics drafters,2024.0,3
"study work order requests to determine type of service, such as lighting or power, demanded by installation",electrical and electronics drafters,2025.0,2
"study work orders, instructions, formulas, and processing charts to determine specifications and sequence of operations",semiconductor processing technicians,2023.0,4
"study work orders, instructions, formulas, and processing charts to determine specifications and sequence of operations",semiconductor processing technicians,2024.0,17
"study work orders, instructions, formulas, and processing charts to determine specifications and sequence of operations",semiconductor processing technicians,2025.0,4
submit applications to credit analysts for verification and recommendation,loan officers,2023.0,1
submit applications to credit analysts for verification and recommendation,loan officers,2024.0,4
submit applications to credit analysts for verification and recommendation,loan officers,2025.0,2
submit articles and information from searches to attorneys for review and approval for use,legal secretaries and administrative assistants,2023.0,17
submit articles and information from searches to attorneys for review and approval for use,legal secretaries and administrative assistants,2024.0,63
submit articles and information from searches to attorneys for review and approval for use,legal secretaries and administrative assistants,2025.0,26
submit loan applications with recommendation for underwriting approval,loan interviewers and clerks,2023.0,2
submit loan applications with recommendation for underwriting approval,loan interviewers and clerks,2024.0,10
submit loan applications with recommendation for underwriting approval,loan interviewers and clerks,2025.0,3
"submit project deliverables, ensuring adherence to quality standards",information technology project managers,2023.0,22
"submit project deliverables, ensuring adherence to quality standards",information technology project managers,2024.0,81
"submit project deliverables, ensuring adherence to quality standards",information technology project managers,2025.0,26
submit reports to physicians summarizing test results,neurodiagnostic technologists,2023.0,2
submit reports to physicians summarizing test results,neurodiagnostic technologists,2024.0,23
submit reports to physicians summarizing test results,neurodiagnostic technologists,2025.0,7
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference","title examiners, abstractors, and searchers",2023.0,10
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference","title examiners, abstractors, and searchers",2024.0,39
"summarize pertinent legal or insurance details, or sections of statutes or case law from reference books for use in examinations or as proofs or ready reference","title examiners, abstractors, and searchers",2025.0,25
"summarize technical data to assist physicians to diagnose brain, sleep, or nervous system disorders",neurodiagnostic technologists,2023.0,1
"summarize technical data to assist physicians to diagnose brain, sleep, or nervous system disorders",neurodiagnostic technologists,2024.0,20
"summarize technical data to assist physicians to diagnose brain, sleep, or nervous system disorders",neurodiagnostic technologists,2025.0,6
summarize test results and report to appropriate authorities,cytogenetic technologists,2023.0,3
summarize test results and report to appropriate authorities,cytogenetic technologists,2024.0,27
summarize test results and report to appropriate authorities,cytogenetic technologists,2025.0,7
supply quality control data necessary for regulatory submissions,quality control analysts,2023.0,7
supply quality control data necessary for regulatory submissions,quality control analysts,2024.0,47
supply quality control data necessary for regulatory submissions,quality control analysts,2025.0,24
